startYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers,nconst
1915,195,324,6.3,22122.0,428.0,"nm0228746,nm0000428,nm0940488",nm0910400
1916,163,25,7.8,13835.0,428.0,"nm0048512,nm0115218,nm0000428,nm0002616,nm0640437,nm1578667,nm0940488","nm0366008,nm0877548"
1920,76,1081,8.1,55301.0,927468.0,"nm0562346,nm0417917","nm0470328,nm0891998,nm0270415"
1921,68,424,8.3,108411.0,122.0,nm0000122,"nm0088471,nm0000122,nm0001067,nm0588033,nm0042317,nm0074788,nm0080930"
1922,91,620,7.7,11721.0,159725.0,nm0159725,nm0159725
1922,78,9,7.6,10533.0,280904.0,"nm0280878,nm0280904","nm1354245,nm0020180"
1922,94,91,7.9,86313.0,3638.0,"nm0301961,nm0831290","nm0775180,nm0334603,nm0903194"
1923,74,1680,8.1,17720.0,628345.0,"nm0730018,nm0853130,nm0924065,nm0907778,nm0369841,nm0516001","nm0516001,nm0835128,nm0949927"
1924,77,1,8.1,12046.0,3638.0,nm0562346,"nm0417837,nm0384897"
1924,45,1681,8.2,39318.0,36.0,"nm0369841,nm0593477,nm0115669","nm0000036,nm0444172,nm0175068"
1925,75,332,8.0,51606.0,1178.0,"nm0012810,nm0001178,nm0017893,nm0038595,nm0872308","nm0031446,nm0058290,nm0017893,nm0090434"
1925,95,429,8.2,96919.0,122.0,nm0000122,"nm1027682,nm0000122,nm0841501,nm0615306,nm0074788,nm0906618,nm1033900"
1925,93,5,7.6,16193.0,432216.0,"nm0503693,nm0031033,nm0165470,nm0566338,nm0566439,nm0715723,nm0775419,nm0908831,nm1541473","nm0151606,nm0449908,nm0136886"
1926,107,367,8.1,13551.0,3638.0,"nm0369458,nm0477515,nm0324473","nm0252472,nm0417837"
1927,153,37,8.3,155467.0,485.0,"nm0902376,nm0000485","nm0002154,nm0297054,nm0459030"
1926,67,1682,8.1,78378.0,115669.0,"nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548","nm0000036,nm0147070,nm0267650"
1927,94,35,8.1,45924.0,3638.0,"nm0562346,nm0837183,nm0385012,nm0129721",nm0639563
1927,144,473,7.5,11088.0,920074.0,"nm0766850,nm0521002,nm0510024,nm0425456,nm0604526","nm0736777,nm0035159"
1928,76,424,8.1,10007.0,781292.0,"nm0115669,nm0513858,nm0267868,nm0090213,nm0604526","nm0000036,nm0329467,nm0102718"
1928,72,152,8.1,26781.0,122.0,nm0000122,"nm0614730,nm0000122,nm0305087,nm0188357,nm0204639,nm0074788,nm0761866,nm0709466"
1928,110,336,8.1,45547.0,3433.0,"nm0217865,nm0003433","nm0798564,nm0075551,nm0776914"
1928,70,426,7.9,12744.0,718469.0,nm0361882,"nm0000036,nm0570297,nm0868458,nm0507827"
1929,68,187,8.4,21742.0,895048.0,nm0895048,nm0442227
1930,152,26,8.0,56188.0,587277.0,"nm0718871,nm0027173,nm0007973,nm0028636,nm0837989,nm0031033,nm0587277","nm0000817,nm0938464,nm0942046,nm0524803"
1930,97,157,7.5,13289.0,373511.0,"nm0442151,nm0753452,nm0436095,nm0748438","nm0000050,nm0555617,nm0555597,nm2580347"
1930,104,39,7.7,13272.0,903049.0,"nm0542777,nm0958454,nm0901629,nm0509510,nm0903049,nm0935567","nm0417837,nm0314777"
1931,79,479,7.3,11697.0,503777.0,"nm0122446,nm0267020,nm0498133,nm0520501,nm0953123","nm0000064,nm0001195,nm0171873"
1930,60,30,7.3,12505.0,320.0,"nm0000320,nm0198557,nm0211381","nm0595321,nm0259722"
1931,87,428,8.5,161738.0,122.0,"nm0000122,nm0139714,nm0188357","nm0000122,nm0616729"
1931,75,367,7.5,44863.0,5713.0,"nm0831290,nm0213019,nm0049721,nm0287124,nm0111313,nm0115218,nm0169606,nm0614225,nm0826873,nm0828574","nm0000509,nm0543115,nm0296859"
1931,70,393,7.8,63082.0,1843.0,"nm0049721,nm0791217,nm0916811,nm0287124,nm0267020,nm0770337,nm0282984,nm0751246","nm0166972,nm0000472,nm0092900"
1931,117,1547,8.3,138659.0,485.0,"nm0902376,nm0000485,nm0414825","nm0000048,nm0921532"
1931,77,157,7.5,11174.0,572851.0,"nm0673279,nm0426953,nm0790654,nm0790383,nm5030661","nm0000050,nm0555617,nm2580347,nm0555597"
1931,83,41,7.7,17254.0,920074.0,"nm0321891,nm0109148,nm0857710","nm0000010,nm0940589"
1931,98,119,7.6,12182.0,541149.0,"nm0388755,nm0372698,nm0829044","nm0387561,nm0545298,nm0378555"
1932,64,28,7.9,41018.0,115218.0,"nm0730317,nm0325135,nm0330390,nm0090213,nm0531269,nm0941138","nm0285922,nm0040374"
1932,112,35,7.4,16823.0,332539.0,"nm0062139,nm0237033,nm0049462,nm0941138","nm0000858,nm0000891"
1932,68,1711,7.6,11537.0,572851.0,"nm0436095,nm0748438,nm0673279,nm0426953,nm0790654","nm0000050,nm0555597,nm0555617,nm2580347"
1932,92,556,8.2,11358.0,503777.0,"nm0122859,nm0337914,nm0391763,nm0316807",nm0612847
1932,63,2056,7.2,10098.0,681635.0,"nm0187256,nm0175028","nm0566948,nm0052203,nm0035877"
1932,73,91,7.1,22633.0,5713.0,"nm0701233,nm0770337,nm0049721","nm0000472,nm0543115,nm0126365"
1932,93,479,7.8,24595.0,1328.0,"nm0870660,nm0372942,nm0589316,nm0536941,nm0122446,nm0001328,nm0664646","nm0612847,nm0674019"
1933,122,1301,8.0,11112.0,485.0,"nm0415167,nm0000485,nm0829954,nm0902376","nm0459030,nm0921532,nm0099786,nm0226158"
1932,83,1712,8.0,12483.0,523932.0,"nm0710723,nm0428177,nm0015801","nm0003339,nm0749476"
1932,75,91,7.5,15159.0,3433.0,"nm0494257,nm0432143,nm0003433","nm0922170,nm0776914"
1933,69,917,7.8,54607.0,564970.0,"nm0436095,nm0748438,nm0790654,nm0674759","nm0000050,nm0555617,nm0555597,nm0555688"
1933,89,1711,7.4,10423.0,45800.0,"nm0416861,nm0786827,nm0740622,nm0093456","nm0062828,nm0107575"
1933,71,119,7.7,29158.0,1843.0,"nm0920229,nm0792670,nm0002545,nm0943804","nm0001647,nm0364203,nm0871287"
1933,100,1395,7.9,77328.0,178260.0,"nm0187256,nm0741656,nm0178260,nm0908624,nm0330390","nm0035877,nm0127677,nm0717046"
1934,89,428,7.8,14064.0,897118.0,"nm0347447,nm0729960,nm0897118","nm0202120,nm0546621,nm0498882"
1934,105,152,8.1,90996.0,1008.0,"nm0728307,nm0011343","nm0858977,nm0000022,nm0175369,nm0439850"
1934,75,1547,6.8,16474.0,33.0,"nm0071657,nm0943922,nm0339326,nm0712653,nm0930539","nm0052203,nm0000048,nm0903687"
1934,91,1489,8.0,25703.0,886754.0,"nm0352443,nm0329304,nm0358591","nm0001635,nm0671738"
1935,114,604,7.3,14575.0,726166.0,"nm0726166,nm0752193,nm1168002",
