startYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers,nconst
1932,93,"Action,Crime,Drama",7.8,24595.0,"nm0001328,nm0744514","nm0870660,nm0372942,nm0589316,nm0536941,nm0122446,nm0001328,nm0664646","nm0612847,nm0674019"
1933,122,"Crime,Horror,Mystery",8.0,11112.0,nm0000485,"nm0415167,nm0000485,nm0829954,nm0902376","nm0459030,nm0921532,nm0099786,nm0226158"
1932,83,"Comedy,Crime,Romance",8.0,12483.0,nm0523932,"nm0710723,nm0428177,nm0015801","nm0003339,nm0749476"
1932,75,"Fantasy,Horror",7.5,15159.0,nm0003433,"nm0494257,nm0432143,nm0003433","nm0922170,nm0776914"
1933,69,"Comedy,Musical,War",7.8,54607.0,nm0564970,"nm0436095,nm0748438,nm0790654,nm0674759","nm0000050,nm0555617,nm0555597,nm0555688"
1933,89,"Comedy,Musical,Romance",7.4,10423.0,nm0045800,"nm0416861,nm0786827,nm0740622,nm0093456","nm0062828,nm0107575"
1933,71,"Horror,Sci-Fi",7.7,29158.0,nm0001843,"nm0920229,nm0792670,nm0002545,nm0943804","nm0001647,nm0364203,nm0871287"
1933,100,"Adventure,Horror,Sci-Fi",7.9,77328.0,"nm0178260,nm0774325","nm0187256,nm0741656,nm0178260,nm0908624,nm0330390","nm0035877,nm0127677,nm0717046"
1934,89,"Comedy,Drama,Romance",7.8,14064.0,nm0897118,"nm0347447,nm0729960,nm0897118","nm0202120,nm0546621,nm0498882"
1934,105,"Comedy,Romance",8.1,90996.0,nm0001008,"nm0728307,nm0011343","nm0858977,nm0000022,nm0175369,nm0439850"
1934,75,"Crime,Mystery,Thriller",6.8,16474.0,nm0000033,"nm0071657,nm0943922,nm0339326,nm0712653,nm0930539","nm0052203,nm0000048,nm0903687"
1934,91,"Comedy,Crime,Mystery",8.0,25703.0,nm0886754,"nm0352443,nm0329304,nm0358591","nm0001635,nm0671738"
1935,114,"Documentary,History,War",7.3,14575.0,nm0726166,"nm0726166,nm0752193,nm1168002",
1935,86,"Film-Noir,Mystery,Thriller",7.6,50284.0,nm0000033,"nm0117955,nm0071657,nm0067308","nm0232196,nm0853607"
1935,75,"Drama,Horror,Sci-Fi",7.8,42038.0,nm0001843,"nm0791217,nm0403398,nm0049721,nm0076653,nm0088662,nm0282984,nm0531878,nm0715723,nm0792670,nm1073460,nm2191908","nm0000472,nm0166972"
1935,119,"Action,Adventure",7.7,12651.0,nm0002031,"nm0754581,nm0732452","nm0001224,nm0041172,nm0001651"
1935,132,"Adventure,Biography,Drama",7.7,20254.0,nm0515979,"nm0421255,nm0299154,nm0933133,nm0635079,nm0355681,nm0004290,nm0268513","nm0001452,nm0000022,nm0867144,nm0612743"
1935,96,"Comedy,Music,Musical",7.9,29944.0,"nm0332539,nm0939992","nm0442151,nm0753452,nm0570130,nm0000036,nm0090213,nm0436095,nm0649183,nm0685265,nm0748438,nm0780833,nm0933133","nm0000050,nm0555597,nm0555617"
1935,101,"Comedy,Musical,Romance",7.7,16933.0,nm0762263,"nm0852313,nm0778818,nm0015801,nm0267022,nm0391750,nm0639130,nm0817809","nm0000001,nm0002143,nm0722424"
1936,92,"Crime,Drama,Film-Noir",7.9,10935.0,nm0000485,"nm0179993,nm0000485,nm0469915","nm0000075,nm0008496,nm0127677"
1936,87,"Comedy,Drama,Family",8.5,210185.0,nm0000122,nm0000122,"nm0305087,nm0000122,nm0074788,nm0761866,nm0174682,nm0003424,nm0090008"
1936,115,"Comedy,Drama,Romance",7.9,19260.0,nm0001008,"nm0728307,nm0445502","nm0241523,nm0000011,nm0051628,nm0822034"
1936,94,"Comedy,Drama,Romance",8.0,20386.0,nm0478441,"nm0753452,nm0368719,nm0015399,nm0478441,nm0696190",nm0001635
1936,82,"Drama,Film-Noir,Romance",7.5,12190.0,nm0562845,"nm0448981,nm0202681,nm0792845","nm0001366,nm0000007"
1936,76,"Crime,Thriller",7.1,14340.0,nm0000033,"nm0175676,nm0071657,nm0067308,nm0801026,nm0256532","nm0393028,nm0856469,nm0517058"
1936,103,"Comedy,Musical,Romance",7.6,11937.0,nm0828419,"nm0512231,nm0778818,nm0312510,nm0391750,nm0416861,nm0892044,nm0949130","nm0000001,nm0602005"
1937,90,"Comedy,Romance",7.7,17111.0,nm0564970,"nm0217568,nm0725017,nm0118227","nm0000026,nm0000897,nm0195422"
1937,111,"Comedy,Musical,Sport",7.6,12718.0,nm0939992,"nm0685265,nm0780833,nm0649183,nm0090213,nm0330390,nm0442151,nm0933133","nm0000050,nm0555597,nm0555617,nm0427452"
1937,113,"Drama,War",8.1,33093.0,nm0719756,"nm0816458,nm0719756","nm0300064,nm0294382,nm0002233"
1937,132,"Adventure,Drama,Fantasy",7.7,11734.0,nm0001008,"nm0728307,nm0385264,nm0118227","nm0172903,nm0002143,nm0397397"
1937,83,"Animation,Family,Fantasy",7.6,176603.0,"nm0789313,nm0604392,nm0414144,nm0668998,nm0359457,nm0183183","nm0342278,nm0342303,nm0780799,nm0187232,nm0257481,nm0725439,nm0403319,nm0210112,nm0087490,nm0810324","nm0830968,nm0041165"
1938,102,"Action,Adventure,Romance",7.9,46214.0,"nm0002031,nm0445033","nm0706993,nm0589316,nm0500284","nm0001224,nm0001651,nm0001647"
1938,112,"Action,Biography,Drama",7.6,10252.0,"nm0890565,nm0001178","nm0001178,nm0667698","nm0003540,nm0645613,nm0009372,nm0650115"
1938,97,"Crime,Drama,Film-Noir",7.9,19383.0,nm0002031,"nm0923333,nm0240417,nm0114602,nm0372942,nm0531269","nm0000010,nm0002285,nm0000007"
1938,102,"Comedy,Family,Romance",7.9,53733.0,nm0001328,"nm0629580,nm0928444","nm0000026,nm0749476,nm0146185"
1938,95,"Comedy,Romance",7.8,13896.0,nm0002030,"nm0829330,nm0118227,nm0058129","nm0000026,nm0000817"
1938,104,"Drama,Romance",7.5,11667.0,nm0943758,"nm0728002,nm0277874,nm0001379,nm0205244,nm0118758,nm0248994","nm0000020,nm0107575"
1938,96,"Mystery,Thriller",7.8,45950.0,nm0000033,"nm0924781,nm0319148,nm0490950","nm0714878,nm0510134"
1938,126,"Comedy,Drama,Romance",7.9,22724.0,nm0001008,"nm0728307,nm0442151,nm0366454","nm0000071,nm0000859,nm0036427"
1939,238,"Drama,History,Romance",8.1,282775.0,"nm0939992,nm0002030,nm0281808","nm0593565,nm0397608,nm0308177,nm0372942,nm0842485,nm0886668","nm0000022,nm0593775"
1939,117,"Adventure,Comedy,War",7.3,10704.0,nm0828419,"nm0768540,nm0347451,nm0372942,nm0531269,nm0456017,nm0001203,nm0169556,nm0173303,nm0493071,nm0629580,nm0892044","nm0000026,nm0572142,nm0001195"
1939,117,"Drama,Romance",7.8,10077.0,nm0226189,"nm0397022,nm0290863,nm0401076","nm0001452,nm0362567,nm0593775"
1939,129,"Comedy,Drama",8.1,104192.0,nm0001008,"nm0118227,nm0287931,nm0175333","nm0000071,nm0001647,nm0036427"
1939,110,"Comedy,Romance",7.9,18412.0,nm0523932,"nm0102818,nm0000697,nm0281556,nm0501872","nm0002048,nm0000509"
1939,121,"Adventure,Drama,Romance",7.7,12090.0,nm0001328,"nm0299154,nm0001328,nm0341178,nm0710299","nm0000026,nm0001932"
1939,106,"Crime,Drama,Film-Noir",8.0,12414.0,nm0909825,"nm0907003,nm0531335,nm0744035,nm0375446,nm0049898,nm0231893,nm0923333","nm0000010,nm0000007"
1939,110,"Comedy,Drama",8.0,26012.0,nm0719756,"nm0719756,nm0002569",nm0197950
1939,96,"Adventure,Drama,Western",7.9,42044.0,nm0000406,"nm0370697,nm0629580,nm0372942","nm0000078,nm0222596,nm0001017"
1939,102,"Adventure,Family,Fantasy",8.0,365643.0,"nm0851537,nm0896542,nm0002030,nm0281808,nm0503777,nm0861703","nm0486538,nm0753249,nm0941138,nm0000875,nm0006085,nm0106505,nm0134284,nm0276252,nm0355095,nm0361971,nm0388755,nm0481618,nm0536941,nm0542534,nm0591774,nm0621790,nm0685265,nm0780833,nm0799015","nm0604656,nm0001961,nm0481618"
1939,133,"Comedy,Drama",7.8,12250.0,nm0002030,"nm0524403,nm0002616,nm0613848,nm0280234,nm0829330",
1939,104,"Drama,Romance",7.6,15930.0,nm0943758,"nm0531269,nm0372942,nm0111577,nm0001379","nm0000059,nm0000057"
1940,125,"Animation,Family,Fantasy",7.8,86538.0,"nm1968474,nm0035899,nm0373429,nm0019282,nm0730860,nm0527217,nm0414144,nm0789313,nm0272568,nm0359610,nm0359457,nm0766402","nm0335469,nm0400056,nm0086293,nm0687624,nm0226679,nm0390839,nm0942687,nm0372604,nm0538164,nm0373871,nm0668998,nm0266338,nm0553200,nm0857936,nm0827963,nm0572689,nm0257481,nm0810324,nm0672093,nm0754836,nm0670328,nm0821707,nm0335296,nm6773872",nm0123553
1940,120,"Action,Romance,Thriller",7.5,17801.0,nm0000033,"nm0071657,nm0365661,nm0385264,nm0070361,nm0372942,nm0537363","nm0566948,nm0003339,nm0001695"
1940,129,"Drama,History",8.0,84462.0,nm0000406,"nm0425913,nm0825705","nm0000020,nm0001017,nm0335788"
1940,125,"Comedy,Drama,War",8.4,196466.0,nm0000122,nm0000122,"nm0000122,nm0642988,nm0306786,nm0199787,nm0317970"
1940,92,"Comedy,Drama,Romance",7.9,52080.0,nm0001328,"nm0496468,nm0372942,nm0531269,nm0753452","nm0000026,nm0000897,nm0516876"
1940,95,"Crime,Drama,Film-Noir",7.6,11379.0,nm0943758,"nm0560857,nm0462321","nm0003339,nm0827263"
1940,112,"Comedy,Romance",7.9,61931.0,nm0002030,"nm0829330,nm0058129,nm0759029","nm0000026,nm0000071"
1940,88,"Animation,Comedy,Family",7.4,127140.0,"nm0730860,nm0272568,nm0527217,nm0455741,nm0414144,nm0373429,nm0789313","nm0172830,nm0780799,nm0257481,nm0810324,nm0183183,nm0754836,nm0672093,nm0061284,nm0670328,nm0850895","nm0427934,nm0747759,nm0000305,nm0110893"
1940,130,"Drama,Mystery,Romance",8.1,118797.0,nm0000033,"nm0238898,nm0792845,nm0365661,nm0531878,nm0389580","nm0000059,nm0001695"
1940,99,"Comedy,Drama,Romance",8.1,26693.0,nm0523932,"nm0710723,nm0529450,nm0372942","nm0000071,nm0604656,nm0771584"
1940,106,"Adventure,Family,Fantasy",7.5,11613.0,"nm0003490,nm0003836,nm0924065,nm0466099,nm0466113,nm0580017","nm0539942,nm0083742,nm0000067","nm0891998,nm0754942,nm0433188"
1941,111,"Comedy,Romance",7.8,10447.0,nm0001328,"nm0102818,nm0000697,nm0598572","nm0000011,nm0393028,nm0871287"
1941,119,"Drama,Mystery",8.3,387882.0,nm0000080,"nm0542534,nm0000080,nm0002144,nm0219670,nm0448809","nm0000080,nm0001072"
1941,64,"Animation,Drama,Family",7.2,116486.0,"nm0789313,nm0414144,nm0254675,nm0730860,nm0035899,nm0272568,nm0455741","nm0335469,nm0400056,nm0257481,nm0670328,nm0061284,nm0727370,nm0821707,nm0810324,nm0008673,nm2927785","nm0001359,nm0112395,nm0082884,nm0088285"
1941,100,"Action,Adventure,Crime",7.5,14635.0,nm0909825,"nm0001379,nm0122446","nm0000007,nm0193232,nm0447913"
1941,118,"Drama,Family",7.7,20687.0,nm0000406,"nm0242897,nm0515751","nm0682074,nm0187981"
1941,94,"Comedy,Romance",7.8,18522.0,nm0002545,"nm0388743,nm0002545","nm0000020,nm0002013,nm0657874"
1941,116,"Drama,Romance",8.0,10008.0,nm0943758,"nm0375484,nm0462111,nm0662213,nm0132180","nm0003339,nm0137999"
1941,100,"Film-Noir,Mystery",8.0,146476.0,nm0001379,"nm0001379,nm0358591","nm0000007,nm0000048"
1941,122,"Comedy,Drama,Romance",7.7,11746.0,nm0001008,"nm0175028,nm0696190,nm0728307,nm0175333","nm0000011,nm0036427,nm0000974"
1941,134,"Biography,Drama,History",7.7,14975.0,nm0001328,"nm0277874,nm0151310,nm0462321,nm0001379,nm0948663,nm0804097,nm0184633","nm0000011,nm0000974,nm0864869"
1941,90,"Adventure,Comedy,Drama",7.9,23337.0,nm0002545,nm0002545,"nm0566948,nm0913094,nm0218131"
1941,99,"Mystery,Thriller",7.4,31458.0,nm0000033,"nm0710723,nm0365661,nm0720904,nm0075324","nm0000026,nm0362567,nm0115558"
1941,70,Horror,7.3,22973.0,nm0905729,nm0802561,"nm0000509,nm0001647,nm0929925,nm0001033,nm0000897,nm0461549"
1942,70,"Animation,Drama,Family",7.3,127841.0,"nm0204190,nm0942687,nm0766402,nm0035899,nm0314671,nm0359457,nm0019282,nm0730860,nm0373871","nm0759041,nm0668998,nm0604392,nm0821707,nm0789873,nm0266338,nm0183231,nm0942723","nm0017013,nm0018755,nm0066951"
1942,102,"Drama,Romance,War",8.5,508210.0,nm0002031,"nm0258493,nm0258525,nm0462321,nm0122417,nm0019706,nm0732452","nm0000007,nm0002134,nm0001647"
1942,73,"Fantasy,Horror,Thriller",7.3,19143.0,nm0869664,nm0090840,"nm0007218,nm0808949"
1942,100,"Comedy,Drama,Music",7.4,12731.0,"nm0762263,nm0020980","nm0083125,nm0723418,nm0000927,nm0391750,nm0492635,nm0616893,nm0841702","nm0001078,nm0000001"
1942,88,"Drama,Romance",7.7,21762.0,"nm0936404,nm0281381,nm0000080","nm0850483,nm0000080,nm0001072,nm0608986","nm0392529,nm0001072"
1942,134,"Drama,Romance,War",7.6,15391.0,nm0943758,"nm0934497,nm0296207,nm0385264,nm0921995,nm0835369,nm0651585,nm0792670,nm0928295",nm0682074
1942,117,"Drama,Romance",7.9,14706.0,nm0710924,"nm0732452,nm0698989","nm0002134,nm0001647"
1942,88,"Comedy,Romance",7.5,10489.0,nm0002545,"nm0002545,nm0480677","nm0566948,nm0884964"
1942,109,"Thriller,War",7.2,22619.0,nm0000033,"nm0896830,nm0365661,nm0662213,nm0000033","nm0191950,nm0472603,nm0062667"
2001,118,"Comedy,Fantasy,Romance",6.4,77664.0,nm0003506,"nm0737216,nm0003506","nm0413168,nm0000630,nm0005227"
1942,99,"Comedy,War",8.2,27050.0,nm0523932,"nm0501872,nm0562372,nm0523932","nm0000912,nm0821041,nm0107795"
1942,126,"Biography,Drama,Musical",7.7,13815.0,nm0002031,"nm0118758,nm0430578,nm0258493,nm0258525","nm0000010,nm0404158,nm0926636"
1943,69,"Drama,Fantasy,Horror",7.1,10675.0,nm0869664,"nm0802561,nm0942027,nm0908681,nm0111576","nm0007218,nm0255199"
1943,163,"Drama,Romance,War",8.1,12745.0,"nm0003836,nm0696247","nm0003836,nm0696247","nm0515193,nm0906932,nm0571129"
1942,75,"Drama,Western",8.0,20361.0,nm0920074,"nm0873707,nm0888099","nm0000020,nm0000763,nm0000063"
1943,108,Thriller,7.8,57766.0,nm0000033,"nm0928642,nm0072639,nm0720904,nm0568060","nm0001072,nm0136994,nm0871287"
1944,118,"Comedy,Crime,Thriller",8.0,64030.0,nm0001008,"nm0258493,nm0258525,nm0450279","nm0000026,nm0557339,nm0007217"
1944,107,"Crime,Drama,Film-Noir",8.3,138942.0,nm0000697,"nm0000697,nm0151452,nm0128906","nm0534045,nm0000064,nm0056477"
1944,114,"Crime,Drama,Film-Noir",7.8,23447.0,nm0002030,"nm0886668,nm0281556,nm0049721,nm0358096","nm0000964,nm0001072"
1946,170,"Drama,Romance,War",8.0,56128.0,nm0943758,"nm0792845,nm0437969","nm0000763,nm0545298"
1944,126,"Comedy,Drama,Music",7.0,10142.0,nm0564970,"nm0124918,nm0147119,nm0564970,nm0235160","nm0001078,nm0280178,nm0570451,nm0113769"
1944,88,"Drama,Film-Noir,Mystery",8.0,41534.0,nm0695937,"nm0143837,nm0237225,nm0388755,nm0718101,nm0488057","nm0000763,nm0916067,nm0001637"
1944,97,"Drama,War",7.6,25758.0,nm0000033,"nm0825705,nm0842485,nm0000033,nm0372942","nm0388303,nm0805790,nm0000904"
1944,113,"Comedy,Drama,Family",7.6,19833.0,nm0591486,"nm0106505,nm0277943,nm0072639,nm0373511,nm0525067,nm0556945,nm4251617",
1944,95,"Crime,Drama,Film-Noir",7.6,11715.0,nm0229424,"nm0668122,nm0151452","nm0694090,nm0472603"
1944,100,"Adventure,Comedy,Film-Noir",7.8,30148.0,nm0001328,"nm0002133,nm0299154,nm0001203,nm0010850,nm0150462","nm0000007,nm0000974"
