startYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers,nconst
1911,71,"Adventure,Drama,Fantasy",7.0,2219.0,"nm0209738,nm0078205,nm0655824",nm0019604,"nm0660139,nm0685283,nm0209738,nm3942815"
1913,54,"Crime,Drama",7.0,1938.0,nm0275421,"nm0019855,nm0275421,nm0816232","nm0622772,nm0107631,nm0577476"
1913,61,"Crime,Drama",7.0,1348.0,nm0275421,"nm0019855,nm0275421,nm0816232","nm0622772,nm0107631,nm0577476"
1913,90,"Crime,Drama,Mystery",7.0,1048.0,nm0275421,"nm0019855,nm0275421,nm0816232","nm0622772,nm0107631,nm0577476,nm0525283"
1913,85,"Drama,Fantasy,Horror",6.5,1765.0,"nm0917467,nm0753233","nm0263912,nm0210503","nm0917467,nm0332024"
1914,78,"Crime,Drama,Horror",6.4,1100.0,nm0000428,"nm0000590,nm0000428","nm0073239,nm0910400,nm0014894,nm0797094,nm0507635,nm0366008"
1914,148,"Adventure,Drama,History",7.1,3065.0,nm0665163,"nm0195339,nm0515385,nm0665163,nm0758215",nm0656034
1914,59,"Crime,Drama",6.9,1159.0,nm0275421,"nm0019855,nm0275421,nm0816232","nm0622772,nm0577476,nm0605849"
1915,60,Horror,6.8,1036.0,"nm0301961,nm0917467","nm0301961,nm0917467","nm0917467,nm0301961,nm0090104"
1914,61,Drama,6.1,1236.0,nm0000428,"nm0017701,nm0000428,nm1106102,nm0940488","nm0910400,nm0366008"
1914,82,Comedy,6.3,3244.0,"nm0784407,nm0071658","nm0215874,nm0404327,nm0784407,nm1100197,nm0808086","nm0000122,nm0841501"
1915,195,"Drama,History,War",6.3,22122.0,nm0000428,"nm0228746,nm0000428,nm0940488",nm0910400
1915,59,"Drama,Romance",6.6,2301.0,nm0001124,"nm0877318,nm0534221","nm0370564,nm0212797,nm0624735"
1915,72,"Biography,Crime,Drama",6.8,1106.0,nm0909825,"nm0452976,nm0909825,nm0361882,nm0352506","nm0271503,nm0790704,nm0564882"
1915,421,"Action,Adventure,Crime",7.3,4152.0,nm0275421,nm0275421,"nm0559013,nm0529695,nm0043923,nm0380742"
1916,105,"Action,Adventure,Sci-Fi",6.2,1499.0,nm0665737,"nm0894523,nm0665737","nm0392709,nm0360132,nm0072911"
1916,163,"Drama,History",7.8,13835.0,nm0000428,"nm0048512,nm0115218,nm0000428,nm0002616,nm0640437,nm1578667,nm0940488","nm0366008,nm0877548"
1917,65,"Comedy,Drama,Family",6.7,1262.0,nm0869665,"nm0309557,nm0547966",nm0919966
1917,48,"Drama,War",7.4,1501.0,nm0803705,"nm0406585,nm0596410,nm0803705","nm0803705,nm0265890"
1918,136,Drama,7.2,1514.0,nm0803705,"nm0803705,nm0039377,nm2642082","nm0803705,nm0252476,nm0014363"
1918,93,"Comedy,Drama",5.9,1062.0,"nm0949648,nm0428059","nm0215874,nm0370271","nm0629589,nm0168595"
1918,45,"Comedy,War",7.3,5837.0,nm0000122,nm0000122,"nm1175053,nm0000122,nm0152260,nm0881022,nm0074788,nm0934232,nm0042317,nm0933531,nm0021147"
1918,84,Drama,6.7,1358.0,nm0624714,"nm0516810,nm0547966","nm0822059,nm0853604"
1919,50,"Crime,Drama,History",7.0,1118.0,nm0652650,"nm0386589,nm0652650","nm0891998,nm0174925"
1919,60,Comedy,7.2,1626.0,nm0523932,"nm0473134,nm0523932","nm0418131,nm0509573,nm0266254"
1919,99,"Drama,Romance",7.0,1318.0,nm0002233,"nm0002233,nm0239769","nm0208659,nm0002233,nm0332998"
1919,90,"Drama,Romance",7.3,9225.0,nm0000428,"nm0121885,nm0000428","nm0782999,nm0001932,nm0187981,nm0397126,nm0081361,nm0073239"
1919,85,"Comedy,Drama",6.5,1304.0,nm0624714,"nm0916914,nm0426515",nm0358029
1919,71,Comedy,6.6,1122.0,nm0001124,nm0534221,"nm0223296,nm0168595,nm0731623"
1919,122,"Drama,History",7.3,1172.0,nm0830249,"nm0481248,nm0596410,nm0830249","nm0830862,nm0074129,nm0526234,nm0632163"
